"attage","sex","smoker","exposure","actual_dths","expected_dths","actual_mort","expected_mort"
86,"M","N",736.5223,52,61.2816,0.0706020713833105,0.0832039980323746
86,"M","S",489.4815,53,55.83124,0.108277840939852,0.114062002343296
86,"M","U",2685.3951,173,256.42193,0.0644225499629459,0.0954875988267052
86,"U","N",21.6097,0,1.57163,0,0.0727279878943252
86,"U","S",5.1514,1,0.50005,0.194121986256163,0.0970706992273945
86,"U","U",74.1511,5,6.84274,0.0674298830361249,0.0922810315693226
87,"F","N",469.1183,18,26.50848,0.0383698525510516,0.0565070260529167
87,"F","S",168.8654,12,15.02544,0.0710625148787141,0.0889787961299355
87,"F","U",1028.866,63,69.31483,0.0612324637027562,0.0673701240005987
87,"M","N",748.4873,56,68.96318,0.0748175687149268,0.0921367403294618
87,"M","S",411.6016,35,51.0793,0.0850336830566256,0.12409888591298
87,"M","U",2407.3706,225,253.2774,0.093462967438416,0.105209143951496
87,"U","N",26.3485,1,2.06508,0.0379528246389738,0.0783756191054519
87,"U","S",12.5543,0,1.49295,0,0.1189194140653
87,"U","U",92.4632,6,8.24848,0.0648906808330233,0.0892082471729293
88,"F","N",365.941,24,22.01402,0.0655843428312214,0.0601572931155569
88,"F","S",154.6166,14,14.63906,0.0905465519226267,0.0946797433134605
88,"F","U",1057.6211,76,78.98343,0.0718593832895354,0.0746802706564761
88,"M","N",520.4153,45,51.51866,0.0864694024176461,0.0989952831901752
88,"M","S",362.7106,47,48.30502,0.129579890965414,0.133177855844301
88,"M","U",2202.2871,223,252.00874,0.101258369083668,0.114430466400135
88,"U","N",15.6861,2,1.39767,0.12750141845328,0.0891024537647981
88,"U","S",7.3036,1,0.81229,0.136918779779835,0.111217755627362
88,"U","U",76.9288,7,8.12502,0.0909932301036803,0.105617402065286
89,"F","N",331.7365,20,22.26345,0.0602888135613657,0.0671118493141394
89,"F","S",137.3892,8,13.99769,0.0582287399591817,0.101883481379905
89,"F","U",870.4471,64,71.20884,0.0735254330791613,0.081807200001011
89,"M","N",465.241,54,51.93004,0.116068876130866,0.111619655189461
89,"M","S",354.9776,47,50.9678,0.132402720622372,0.143580327322062
89,"M","U",1961.5208,216,248.16909,0.110118638558408,0.1265187144587
89,"U","N",19.0316,1,1.65249,0.052544189663507,0.0868287479770487
89,"U","S",7.8449,2,0.94861,0.254942701627809,0.120920598095578
89,"U","U",56.9664,4,6.08737,0.0702168295697113,0.106858955454443
90,"F","N",271.5743,14,20.70024,0.0515512697630078,0.0762231183142146
90,"F","S",123.5659,11,14.02336,0.0890213238441997,0.113488915631254
90,"F","U",842.5453,53,74.20337,0.0629046295789674,0.0880704811954918
90,"M","N",320.9758,32,39.93218,0.0996959895418907,0.124408693739528
90,"M","S",345.985,31,53.55265,0.0895992600835296,0.154783155339104
90,"M","U",1587.7431,202,217.31506,0.127224612092473,0.136870416882933
90,"U","N",9.9151,2,1.00608,0.201712539460016,0.101469475849966
90,"U","S",4.863,0,0.72783,0,0.149666872301049
90,"U","U",81.1824,3,9.60405,0.0369538225033997,0.118302119671259
